start,end,Parcela,Species,ID,Individuo,DD,MM,YY,LB,NL,ML,GL,AL,FB,OF,FR,MF,date
42:39.4,43:34.1,3,Handroanthus crysanthus,H06,6,30,3,2024,0,0,4,0,2,0,0,0,0,2024-03-30
38:37.5,39:24.6,3,Handroanthus crysanthus,H13,13,30,3,2024,0,0,2,0,2,0,0,0,0,2024-03-30
37:36.6,38:25.8,3,Handroanthus crysanthus,H12,12,30,3,2024,0,0,4,0,1,0,0,0,0,2024-03-30
36:26.6,37:18.1,3,Handroanthus crysanthus,H05,5,30,3,2024,0,0,4,0,2,0,0,0,0,2024-03-30
35:21.1,36:16.8,3,Handroanthus crysanthus,H04,4,30,3,2024,0,0,4,0,2,0,0,0,0,2024-03-30
34:05.3,34:56.1,3,Handroanthus crysanthus,H01,1,27,3,2024,0,1,4,0,1,0,0,0,0,2024-03-27
32:34.8,33:48.9,3,Handroanthus crysanthus,H02,2,27,3,2024,0,0,5,0,2,0,0,0,0,2024-03-27
29:59.9,30:56.2,3,Handroanthus crysanthus,H07,7,27,3,2024,0,0,4,0,1,0,0,0,0,2024-03-27
28:07.0,29:37.0,3,Handroanthus crysanthus,H14,14,27,3,2024,0,0,3,0,1,0,0,0,0,2024-03-27
57:39.9,58:46.4,3,Handroanthus crysanthus,H10,10,16,3,2024,0,0,3,0,1,0,0,0,0,2024-03-16
52:35.4,53:33.1,3,Handroanthus crysanthus,H02,2,16,3,2024,0,0,5,1,0,0,0,0,0,2024-03-16
50:03.6,51:06.6,3,Handroanthus crysanthus,H06,6,13,3,2024,0,0,4,0,0,0,0,0,0,2024-03-13
48:51.2,49:48.6,3,Handroanthus crysanthus,H13,13,13,3,2024,0,0,2,0,2,0,0,0,0,2024-03-13
47:33.7,48:27.9,3,Handroanthus crysanthus,H12,12,13,3,2024,0,0,4,0,1,0,0,0,0,2024-03-13
44:48.2,47:19.0,3,Handroanthus crysanthus,H04,4,13,3,2024,0,0,4,0,1,0,0,0,0,2024-03-13
43:14.9,44:31.1,3,Handroanthus crysanthus,H05,5,13,3,2024,0,0,4,0,1,0,0,0,0,2024-03-13
50:31.8,51:32.7,3,Handroanthus crysanthus,H07,7,9,3,2024,0,0,4,0,1,0,0,0,0,2024-03-09
40:25.5,49:11.3,3,Handroanthus crysanthus,H01,1,9,3,2024,0,0,4,0,1,0,0,0,0,2024-03-09
37:56.4,39:07.9,3,Handroanthus crysanthus,H14,14,9,3,2024,0,0,3,0,1,0,0,0,0,2024-03-09
42:47.6,43:30.6,3,Handroanthus crysanthus,H10,10,28,2,2024,0,0,3,0,1,0,0,0,0,2024-02-28
41:48.5,42:33.7,3,Handroanthus crysanthus,H06,6,28,2,2024,0,0,4,0,1,0,0,0,0,2024-02-28
40:27.8,41:38.5,3,Handroanthus crysanthus,H13,13,28,2,2024,0,0,2,0,2,0,0,0,0,2024-02-28
39:18.1,40:09.3,3,Handroanthus crysanthus,H12,12,28,2,2024,0,0,4,0,0,0,0,0,0,2024-02-28
38:04.3,39:04.0,3,Handroanthus crysanthus,H05,5,28,2,2024,0,0,4,0,1,0,0,0,0,2024-02-28
36:59.5,37:52.4,3,Handroanthus crysanthus,H04,4,28,2,2024,0,0,4,0,0,0,0,0,0,2024-02-28
35:34.2,36:44.2,3,Handroanthus crysanthus,H01,1,28,2,2024,0,0,4,0,1,0,0,0,0,2024-02-28
34:05.2,35:20.3,3,Handroanthus crysanthus,H11,11,24,2,2024,0,0,5,0,0,0,0,0,0,2024-02-24
31:34.6,33:49.2,3,Handroanthus crysanthus,H02,2,24,2,2024,0,0,5,0,1,0,0,0,0,2024-02-24
27:48.2,29:00.1,3,Handroanthus crysanthus,H07,7,24,2,2024,0,0,4,0,0,0,0,0,0,2024-02-24
17:39.7,19:18.7,3,Handroanthus crysanthus,H11,11,10,2,2024,0,0,5,0,1,0,0,0,0,2024-02-10
38:34.9,49:35.3,3,Handroanthus crysanthus,H10,10,9,2,2024,0,0,4,0,1,0,0,0,0,2024-02-09
36:42.2,38:31.8,3,Handroanthus crysanthus,H06,6,9,2,2024,0,0,5,0,1,0,0,0,0,2024-02-09
33:57.9,35:11.2,3,Handroanthus crysanthus,H13,13,9,2,2024,0,0,2,0,2,0,0,0,0,2024-02-09
32:47.3,33:53.8,3,Handroanthus crysanthus,H12,12,9,2,2024,0,0,4,0,1,0,0,0,0,2024-02-09
27:43.5,32:37.9,3,Handroanthus crysanthus,H05,5,9,2,2024,0,0,4,0,1,0,0,0,0,2024-02-09
26:00.7,27:14.7,3,Handroanthus crysanthus,H04,4,9,2,2024,0,0,5,0,1,0,0,0,0,2024-02-09
25:01.7,25:46.6,3,Handroanthus crysanthus,H02,2,9,2,2024,0,0,5,0,1,0,0,0,0,2024-02-09
56:34.6,58:01.3,3,Handroanthus crysanthus,H01,1,8,2,2024,0,0,5,0,1,0,0,0,0,2024-02-08
52:54.9,54:06.6,3,Handroanthus crysanthus,H07,7,8,2,2024,0,0,5,0,1,0,0,0,0,2024-02-08
51:31.3,52:44.2,3,Handroanthus crysanthus,H14,14,8,2,2024,0,0,4,0,1,0,0,0,0,2024-02-08
01:02.3,05:15.2,3,Handroanthus crysanthus,H07,7,25,1,2024,0,0,5,0,1,0,0,0,0,2024-01-25
59:48.1,00:49.4,3,Handroanthus crysanthus,H14,14,25,1,2024,0,0,4,0,1,0,0,0,0,2024-01-25
57:11.4,59:16.7,3,Handroanthus crysanthus,H10,10,21,1,2024,0,0,4,0,1,0,0,0,0,2024-01-21
53:16.5,55:28.3,3,Handroanthus crysanthus,H06,6,21,1,2024,0,1,5,0,1,0,0,0,0,2024-01-21
52:13.5,53:05.8,3,Handroanthus crysanthus,H04,4,21,1,2024,0,0,5,0,1,0,0,0,0,2024-01-21
49:57.6,52:10.7,3,Handroanthus crysanthus,H02,2,20,1,2024,0,0,5,0,1,0,0,0,0,2024-01-20
47:14.7,49:53.8,3,Handroanthus crysanthus,H05,5,21,1,2024,0,0,4,0,2,0,0,0,0,2024-01-21
38:09.3,40:35.1,3,Handroanthus crysanthus,H11,11,20,1,2024,0,0,5,0,1,0,0,0,0,2024-01-20
36:32.4,37:51.6,3,Handroanthus crysanthus,H13,13,20,1,2024,0,0,2,0,3,0,0,0,0,2024-01-20
35:30.5,36:21.0,3,Handroanthus crysanthus,H12,12,20,1,2024,0,0,4,0,1,0,0,0,0,2024-01-20
30:53.1,35:16.5,3,Handroanthus crysanthus,H01,1,20,1,2024,0,0,4,1,1,0,0,0,0,2024-01-20
09:31.0,39:36.3,3,Handroanthus crysanthus,H10,10,7,1,2024,0,0,4,0,1,0,0,0,0,2024-01-07
14:49.5,01:36.5,3,Handroanthus crysanthus,H05,5,23,11,2023,2,2,5,2,1,0,0,3,4,2023-11-23
21:52.1,23:41.6,3,Handroanthus crysanthus,H12,12,7,1,2024,2,2,4,0,1,0,0,0,0,2024-01-07
20:33.4,21:49.2,3,Handroanthus crysanthus,H13,13,7,1,2024,2,2,2,0,1,0,0,0,0,2024-01-07
18:59.5,20:31.2,3,Handroanthus crysanthus,H04,4,7,1,2024,0,0,5,0,1,0,0,0,0,2024-01-07
17:27.2,18:44.0,3,Handroanthus crysanthus,H05,5,7,1,2024,0,0,5,0,1,0,0,0,0,2024-01-07
11:52.0,16:11.2,3,Handroanthus crysanthus,H06,6,7,1,2024,0,0,5,0,1,0,0,0,0,2024-01-07
08:08.1,09:17.6,3,Handroanthus crysanthus,H01,1,6,1,2024,3,2,4,0,1,0,0,0,0,2024-01-06
55:22.9,02:59.1,3,Handroanthus crysanthus,H14,14,4,1,2024,0,0,4,0,0,0,0,0,0,2024-01-04
59:17.4,02:47.9,3,Handroanthus crysanthus,H11,11,6,1,2024,0,0,5,0,1,0,0,0,0,2024-01-06
56:32.5,59:14.6,3,Handroanthus crysanthus,H02,2,6,1,2024,0,0,5,0,1,0,0,0,0,2024-01-06
52:02.7,53:00.2,3,Handroanthus crysanthus,H07,7,4,1,2024,0,0,5,0,1,0,0,0,0,2024-01-04
02:11.8,03:12.4,3,Handroanthus crysanthus,H11,11,10,12,2023,0,1,5,1,0,0,0,2,6,2023-12-10
59:28.7,01:42.6,3,Handroanthus crysanthus,H02,2,9,12,2023,1,2,5,1,0,0,0,2,6,2023-12-09
58:30.9,59:18.3,3,Handroanthus crysanthus,H13,13,9,12,2023,1,1,3,1,0,0,0,3,5,2023-12-09
56:15.5,57:16.1,3,Handroanthus crysanthus,H10,10,9,12,2023,3,3,3,1,0,0,0,3,6,2023-12-09
53:29.7,54:28.9,3,Handroanthus crysanthus,H06,6,9,12,2023,2,2,4,1,0,0,0,3,5,2023-12-09
52:14.2,53:26.5,3,Handroanthus crysanthus,H04,4,9,12,2023,2,3,4,3,0,0,0,3,5,2023-12-09
50:27.6,51:17.1,3,Handroanthus crysanthus,H12,12,7,12,2023,0,0,4,1,0,0,0,4,5,2023-12-07
48:53.3,49:34.7,3,Handroanthus crysanthus,H05,5,7,12,2023,2,2,5,1,1,0,0,3,5,2023-12-07
47:29.9,48:46.0,3,Handroanthus crysanthus,H01,1,7,12,2023,2,2,4,1,1,0,0,3,6,2023-12-07
