month,flower_buds,open_flowers
2023-08-01,3.6666666666666665,0.4
2023-09-01,3,3.2777777777777777
2023-10-01,0.6666666666666666,0.5833333333333334
2024-04-01,0,0
2024-03-01,0,0
2024-02-01,0,0
2024-01-01,0,0
2023-11-01,0.05,0.3
2023-12-01,0,0
2024-05-01,0.9090909090909091,0
2024-06-01,2.380952380952381,0
2024-08-01,3.4545454545454546,0.09090909090909091
2024-07-01,3.272727272727273,0.6363636363636364
2024-10-01,0.36363636363636365,0.3181818181818182
2024-09-01,3.217391304347826,2.0434782608695654
2024-11-01,0.2727272727272727,0.2727272727272727
