"RootFolder","File","RelativePath","DateTime","TreeID","Temperature","Empty","Species","Count","Behaviour","Same_IND","Comment","CameraID","Date","infant","Hour","Minute","Time_numeric","Time_radians"
"REC23_night","RCNX0004.AVI","H01\230809-28_H01_300R_12h_FULLMEM_Aotus_florivory_MOD",2023-08-13 22:02:49,"H01",14,FALSE,"Aot",1,"Nectivory",FALSE,"","300R","2023-08-13",0,22,2,22.0333333333333,5.76831317784126
"REC23_night","RCNX0009.AVI","H01\230809-28_H01_300R_12h_FULLMEM_Aotus_florivory_MOD",2023-08-16 21:02:34,"H01",13,FALSE,"Aot",1,"Nectivory",FALSE,"","300R","2023-08-16",0,21,2,21.0333333333333,5.50651379004211
"REC23_night","RCNX0068.AVI","H01\230809-30_H01_400R_24h_Thomasomys_florivory_Potus_wandering",2023-08-17 04:01:16,"H01",12,FALSE,"Aot",1,"Other",FALSE,"","400R","2023-08-17",0,4,1,4.01666666666667,1.05156087432658
"REC23_night","RCNX0013.AVI","H01\230809-28_H01_300R_12h_FULLMEM_Aotus_florivory_MOD",2023-08-21 00:01:21,"H01",15,FALSE,"Aot",2,"Wandering",FALSE,"Bad visibility","300R","2023-08-20",0,0,1,0.0166666666666667,0.00436332312998582
"REC23_night","RCNX0014.AVI","H01\230809-28_H01_300R_12h_FULLMEM_Aotus_florivory_MOD",2023-08-20 20:41:39,"H01",14,FALSE,"Aot",2,"Wandering",FALSE,"","300R","2023-08-20",0,20,41,20.6833333333333,5.41488400431241
"REC23_night","RCNX0197.AVI","H01\230809-30_H01_400R_24h_Thomasomys_florivory_Potus_wandering",2023-08-24 20:40:01,"H01",14,FALSE,"Aot",1,"Wandering",FALSE,"","400R","2023-08-24",0,20,40,20.6666666666667,5.41052068118242
"REC23_night","RCNX0002.AVI_Aotus.AVI","H05\230902-05_H05_400R_18h_Aotus_Rat_florivory",2023-09-03 05:22:46,"H05",10,FALSE,"Aot",1,"Florivory",FALSE,"","400R","2023-09-03",0,5,22,5.36666666666667,1.40499004785544
"REC23_night","RCNX0015.AVI_Aotus.AVI","H05\230905-08_H05_400R_18h_Aotus_Rat_florivory_Calu-Pot_wondering",2023-09-08 02:23:24,"H05",9,FALSE,"Aot",1,"Wandering",FALSE,"","400R","2023-09-08",0,2,23,2.38333333333333,0.623955207587973
"REC23_night","RCNX0032_Aotus.AVI","H05\230908-18_H05_400R_24h_Aotus_florivory_Change_inflo_bad",2023-09-12 01:00:48,"H05",15,FALSE,"Aot",1,"Florivory",FALSE,"","400R","2023-09-12",0,1,0,1,0.261799387799149
"REC23_night","RCNX0001.AVI","H06\230913-20_H06_500R_24h_Aotus_family_wonder",2023-09-13 22:40:20,"H06",13,FALSE,"Aot",4,"Florivory",FALSE,"","500R","2023-09-13",0,22,40,22.6666666666667,5.93411945678072
"REC23_night","RCNX0006.AVI","H06\230913-20_H06_500R_24h_Aotus_family_wonder",2023-09-15 23:03:50,"H06",14,FALSE,"Aot",5,"Wandering",FALSE,"Presence of a cub","500R","2023-09-15",1,23,3,23.05,6.0344758887704
"REC23_night","RCNX0093.AVI","H05\230918-1001_H05_400R_24h_bad_position_nocturnal_activity",2023-09-28 02:35:17,"H05",13,FALSE,"Aot",1,"Wandering",FALSE,"bad image","400R","2023-09-28",0,2,35,2.58333333333333,0.676315085147803
"REC23_night","RCNX0136.AVI","H01\230927-1004_H01_300R_24h_Aotus_wondering",2023-09-29 02:49:19,"H01",13,FALSE,"Aot",1,"Wandering",FALSE,"","300R","2023-09-29",0,2,49,2.81666666666667,0.737401608967604
"REC23_night","RCNX0286_Aotus_family.AVI","H06\231004-1022_H06_500R_24h_AotufFam",2023-10-11 04:04:44,"H06",11,FALSE,"Aot",4,"Wandering",FALSE,"","500R","2023-10-11",0,4,4,4.06666666666667,1.06465084371654
"REC23_night","RCNX0003_Aotus_herb.AVI","H01\231018_1102_H01_300R_24h_Aotus_herb_rat_frug",2023-10-19 20:05:37,"H01",15,FALSE,"Aot",1,"Other",FALSE,"","300R","2023-10-19",0,20,5,20.0833333333333,5.25780437163292
"REC23_night","RCNX0063.AVI","H01\231018_1102_H01_300R_24h_Aotus_herb_rat_frug",2023-10-24 23:15:18,"H01",15,FALSE,"Aot",1,"Inspecting",FALSE,"","300R","2023-10-24",0,23,15,23.25,6.08683576633022
"REC23_night","RCNX0455_Aotus_insectsonleaves.AVI","H01\231018_1102_H01_300R_24h_Aotus_herb_rat_frug",2023-10-31 19:08:58,"H01",16,FALSE,"Aot",1,"Inspecting",FALSE,"","300R","2023-10-31",0,19,8,19.1333333333333,5.00909495322372
"REC23_night","RCNX0002_Aotus.AVI","H01\231102-18_H01_300R_1800-0600_Many_rat",2023-11-02 22:32:59,"H01",16,FALSE,"Aot",1,"Wandering",FALSE,"","300R","2023-11-02",0,22,32,22.5333333333333,5.89921287174083
"REC23_night","RCNX0001.AVI","H11\231111-18_H11_800R_1800-630_Aotus_wonder",2023-11-14 22:19:43,"H11",15,FALSE,"Aot",1,"Wandering",FALSE,"","800R","2023-11-14",0,22,19,22.3166666666667,5.84248967105102
"REC23_night","RCNX0002.AVI","H11\231111-18_H11_800R_1800-630_Aotus_wonder",2023-11-16 20:39:39,"H11",16,FALSE,"Aot",1,"Wandering",FALSE,"","800R","2023-11-16",0,20,39,20.65,5.40615735805244
"REC23_night","RCNX0069_Aotus.AVI","H05\231102-18_H05_400R_1800-0600_Many_int",2023-11-18 05:19:53,"H05",13,FALSE,"Aot",3,"Wandering",FALSE,"","400R","2023-11-18",0,5,19,5.31666666666667,1.39190007846548
"REC23_night","RCNX0001_Aotus_jump.AVI","H11\231118-27_H11_800R_1800-630_potos_aotus",2023-11-19 05:09:53,"H11",12,FALSE,"Aot",1,"Wandering",FALSE,"","800R","2023-11-19",0,5,9,5.15,1.34826684716562
"RECONYX_24_cloud","RCNX0002_Aot.AVI","H01\231127-28_R300_H01 ",2023-11-28 00:14:40,"H01",14,FALSE,"Aot",1,"Inspecting",FALSE,"","300R","2023-11-28",0,0,14,0.233333333333333,0.0610865238198015
"RECONYX_24_cloud","RCNX0001.AVI","H06\231128_R500_H06 ",2023-11-28 00:23:17,"H06",13,FALSE,"Aot",2,"Wandering",FALSE,"","500R","2023-11-28",0,0,23,0.383333333333333,0.100356431989674
"RECONYX_24_cloud","RCNX0004.AVI","H11\231201-28_R800_H11 ",2023-12-04 00:27:25,"H11",14,FALSE,"Aot",2,"Wandering",FALSE,"","800R","2023-12-04",0,0,27,0.45,0.117809724509617
"RECONYX_24_cloud","RCNX0033.AVI","H01\231201-30_R300_H01 ",2023-12-11 04:26:01,"H01",15,FALSE,"Aot",1,"Frugivory",FALSE,"","300R","2023-12-11",0,4,26,4.43333333333333,1.16064395257623
"RECONYX_24_cloud","RCNX0047.AVI","H01\231201-30_R300_H01 ",2023-12-16 20:22:34,"H01",16,FALSE,"Aot",1,"Wandering",FALSE,"fur with scars? No, probably carries baby","300R","2023-12-16",1,20,22,20.3666666666667,5.33198086484268
"RECONYX_24_cloud","RCNX0053.AVI","H01\231201-30_R300_H01 ",2023-12-19 00:24:24,"H01",16,FALSE,"Aot",2,"Wandering",FALSE,"one is the individual with scars","300R","2023-12-19",0,0,24,0.4,0.10471975511966
"RECONYX_24_cloud","RCNX0057.AVI","H01\231201-30_R300_H01 ",2023-12-21 00:03:34,"H01",15,FALSE,"Aot",1,"Wandering",FALSE,"","300R","2023-12-21",0,0,3,0.05,0.0130899693899575
"RECONYX_24_cloud","RCNX0010.AVI","H11\231201-28_R800_H11 ",2023-12-25 02:24:12,"H11",14,FALSE,"Aot",2,"Wandering",FALSE,"","800R","2023-12-25",0,2,24,2.4,0.628318530717959
