start,end,Parcela,Species,ID,Individuo,DD,MM,YY,LB,NL,ML,GL,AL,FB,OF,FR,MF
57:54.2,16:08.4,3,Handroanthus crysanthus,H04,4,13,12,2022,2,3,4,2,1,0,0,5,5
16:11.4,17:50.5,3,Handroanthus crysanthus,H06,6,14,12,2022,1,1,4,2,1,0,0,5,5
19:37.9,21:04.9,3,Handroanthus crysanthus,H10,10,14,12,2022,3,3,3,2,1,0,0,3,4
22:04.9,23:14.2,3,Handroanthus crysanthus,H14,14,14,12,2022,2,2,3,2,1,0,0,3,5
23:41.5,53:10.2,3,Handroanthus crysanthus,H07,7,14,12,2022,2,2,4,2,1,0,0,0,0
53:14.6,59:37.1,3,Handroanthus crysanthus,H02,2,17,12,2022,3,2,5,2,0,0,0,2,2
59:59.2,04:29.9,3,Handroanthus crysanthus,H11,11,17,12,2022,3,2,5,3,0,0,0,2,2
32:11.8,34:18.4,3,Handroanthus crysanthus,H01,1,4,1,2023,1,0,4,0,2,0,0,0,0
34:21.9,36:53.2,3,Handroanthus crysanthus,H05,5,4,1,2023,3,3,4,2,2,0,0,0,4
36:56.6,39:19.0,3,Handroanthus crysanthus,H04,4,4,1,2023,0,0,5,0,3,0,0,0,0
42:20.0,43:27.6,3,Handroanthus crysanthus,H06,6,7,1,2023,0,0,4,1,2,6,5,0,0
49:39.6,50:52.3,3,Handroanthus crysanthus,H10,10,7,1,2023,1,2,4,2,2,0,0,2,5
52:22.8,53:45.1,3,Handroanthus crysanthus,H07,7,7,1,2023,0,0,5,2,1,0,0,0,0
53:48.0,56:17.6,3,Handroanthus crysanthus,H12,12,8,1,2023,1,0,5,0,3,0,0,3,3
56:21.5,57:19.1,3,Handroanthus crysanthus,H02,2,8,1,2023,2,2,5,1,3,0,0,2,2
57:23.9,58:25.8,3,Handroanthus crysanthus,H11,11,8,1,2023,0,0,5,0,2,0,0,2,2
02:12.0,03:11.4,3,Handroanthus crysanthus,H14,14,9,1,2023,2,2,4,2,1,0,0,3,5
34:49.7,36:54.1,3,Handroanthus crysanthus,H01,1,4,2,2023,0,3,5,0,2,0,0,0,0
36:57.4,38:31.8,3,Handroanthus crysanthus,H05,5,4,2,2023,2,3,5,0,3,0,0,0,0
38:35.7,40:09.7,3,Handroanthus crysanthus,H04,4,4,2,2023,3,0,5,0,2,0,0,0,0
40:14.1,41:47.0,3,Handroanthus crysanthus,H12,12,4,2,2023,3,0,5,0,2,0,0,0,0
41:50.0,43:18.3,3,Handroanthus crysanthus,H13,13,4,2,2023,3,1,4,0,2,0,0,0,0
45:39.9,46:59.1,3,Handroanthus crysanthus,H06,6,5,2,2023,0,0,5,0,3,0,0,0,0
47:03.9,49:22.8,3,Handroanthus crysanthus,H10,10,5,2,2023,0,0,5,0,2,0,0,0,0
49:30.8,50:52.6,3,Handroanthus crysanthus,H07,7,5,2,2023,0,0,6,0,3,0,0,0,0
52:29.2,54:35.6,3,Handroanthus crysanthus,H02,2,6,2,2023,3,0,5,0,2,0,0,0,0
54:38.4,56:08.4,3,Handroanthus crysanthus,H11,11,6,2,2023,3,0,5,0,3,0,0,0,0
00:52.4,02:10.1,3,Handroanthus crysanthus,H14,14,8,2,2023,0,0,6,0,2,0,0,0,0
28:37.4,34:38.2,3,Handroanthus crysanthus,H01,1,25,2,2023,1,1,5,0,3,0,0,0,0
34:47.0,39:11.1,3,Handroanthus crysanthus,H05,5,25,2,2023,0,0,0,0,0,0,0,0,0
39:14.0,41:08.0,3,Handroanthus crysanthus,H05,5,25,2,2023,1,1,5,0,3,0,0,0,0
41:16.2,42:41.4,3,Handroanthus crysanthus,H04,4,25,2,2023,0,0,5,0,2,0,0,0,0
42:45.1,44:11.9,3,Handroanthus crysanthus,H12,12,25,2,2023,0,0,5,0,2,0,0,0,0
44:14.2,45:44.7,3,Handroanthus crysanthus,H13,13,25,2,2023,0,0,4,0,3,0,0,0,0
47:30.7,49:02.3,3,Handroanthus crysanthus,H06,6,26,2,2023,0,0,5,0,3,0,0,0,0
51:00.0,52:21.3,3,Handroanthus crysanthus,H10,10,26,2,2023,0,0,5,0,3,0,0,0,0
52:23.7,53:41.7,3,Handroanthus crysanthus,H07,7,26,2,2023,0,0,6,0,2,0,0,0,0
53:43.7,55:08.2,3,Handroanthus crysanthus,H02,2,27,2,2023,0,0,6,0,3,0,0,0,0
