month,detections
2023-08-01,6
2023-09-01,7
2023-10-01,4
2023-11-01,7
2023-12-01,7
2024-01-01,16
2024-02-01,15
2024-03-01,18
2024-04-01,18
2024-05-01,22
2024-06-01,18
2024-07-01,22
2024-08-01,16
2024-09-01,5
2024-10-01,3
2024-11-01,11
