"CameraID","TreeID","StartDate","EndDate","CTNs"
"300R","H01","2023-08-09","2024-11-27",477
"400R","H01","2023-08-09","2023-08-24",16
"400R","H05","2023-09-03","2024-11-28",453
"500R","H06","2023-09-05","2024-11-28",451
"600R","H04","2023-10-19","2024-11-26",405
"600R","H06","2023-09-05","2023-09-05",1
"800R","H11","2023-11-14","2024-11-27",380
"Total number of days",NA,"478",NA,2183
